restaurant_id,management_type,weekly_page_views,conversion_rate,deliveries_l30,menu_photos,promo_spend_usd,cancellations_pct,order_protocol,tier_hint
R001,Unmanaged,118,0.141,65,12,4.0,6.2,EMAIL,Tier2
R002,Unmanaged,142,0.154,84,15,7.5,4.9,IPAD,Tier1
R003,Unmanaged,96,0.118,49,8,0.0,8.5,FAX,Tier3
R004,Unmanaged,166,0.168,102,21,9.0,4.1,IPAD,Tier1
R005,Unmanaged,132,0.149,78,14,6.0,5.6,EMAIL,Tier2
R006,Unmanaged,88,0.112,43,6,0.0,9.2,FAX,Tier3
R007,Unmanaged,151,0.161,95,18,8.2,4.4,POS,Tier1
R008,Unmanaged,107,0.137,58,10,3.5,6.1,EMAIL,Tier2
R009,Unmanaged,124,0.152,73,13,5.8,5.2,IPAD,Tier2
R010,Unmanaged,79,0.103,37,5,0.0,10.4,FAX,Tier3
R011,Managed,301,0.279,292,88,24.0,2.8,POS,Managed
R012,Managed,344,0.301,346,97,29.0,2.1,POS,Managed
R013,Managed,317,0.286,318,91,27.5,2.4,IPAD,Managed
R014,Managed,288,0.271,279,84,22.4,3.1,POS,Managed
R015,Managed,355,0.312,366,101,31.0,1.9,POS,Managed
R016,Managed,326,0.294,337,93,26.8,2.3,IPAD,Managed
R017,Managed,272,0.264,254,79,19.7,3.5,POS,Managed
R018,Managed,309,0.287,303,89,25.1,2.6,POS,Managed
R019,Managed,336,0.299,341,95,28.3,2.2,IPAD,Managed
R020,Managed,294,0.276,287,86,23.5,3.0,POS,Managed
